Time,"X, m","Y, m","Z, m","RMS, m",PDOP,TOffset,NumSat
27.9,"2847815,3588","2279685,1022","5214615,4259","1,96564364433289","1,462","124753,461",14
28.0,"2847815,7017","2279684,9213","5214615,8587","1,94778251647949","1,462","124751,961",14
28.1,"2847815,3608","2279684,2210","5214615,3660","2,30540013313293","1,462","124750,156",14
28.2,"2847815,7390","2279684,0863","5214615,3597","2,54573488235474","1,462","124748,464",14
28.3,"2847815,6664","2279683,9463","5214615,0473","2,40247869491577","1,462","124746,646",14
28.4,"2847814,7530","2279684,4998","5214615,5057","2,5043454170227","1,462","124745,313",14
28.5,"2847815,5147","2279684,4247","5214616,0510","2,47317433357239","1,462","124744,179",14
28.6,"2847815,3458","2279684,1619","5214616,0650","2,579256772995","1,462","124742,494",14
28.7,"2847816,1519","2279684,1497","5214616,1474","2,71034073829651","1,462","124740,968",14
28.8,"2847816,6150","2279683,9830","5214616,0853","2,42863202095032","1,462","124739,246",14
28.9,"2847815,7831","2279683,6340","5214615,7280","2,63391637802124","1,462","124737,402",14
29.0,"2847815,5377","2279683,6261","5214615,6557","2,3383731842041","1,462","124735,762",14
29.1,"2847815,5625","2279683,1456","5214614,8919","2,51595163345337","1,462","124733,942",14
29.2,"2847815,4064","2279683,5912","5214614,8466","2,56170177459717","1,462","124732,462",14
29.3,"2847815,3728","2279683,1538","5214614,5108","2,38012456893921","1,462","124730,629",14
29.4,"2847814,1217","2279683,5827","5214614,4736","2,23236894607544","1,462","124729,143",14
29.5,"2847813,8878","2279683,7341","5214614,4344","2,07880616188049","1,462","124727,475",14
29.6,"2847814,0388","2279683,3585","5214614,3182","1,93807601928711","1,462","124725,788",14
29.7,"2847814,4071","2279683,8198","5214614,5013","1,62060749530792","1,462","124724,546",14
29.8,"2847814,4389","2279683,5895","5214614,8677","1,91804850101471","1,462","124723,210",14
29.9,"2847814,6829","2279683,4532","5214614,9266","2,00657653808594","1,462","124721,795",14
30.0,"2847813,9454","2279683,9938","5214614,5082","1,93490648269653","1,462","124720,272",14
30.1,"2847814,5360","2279683,9858","5214614,9649","2,1723837852478","1,462","124718,970",14
30.2,"2847814,6157","2279683,7953","5214614,8214","2,19098091125488","1,462","124717,318",14
30.3,"2847814,7051","2279683,3659","5214614,8583","2,07685208320618","1,462","124715,554",14
30.4,"2847815,6476","2279683,5999","5214614,7360","1,98193418979645","1,462","124713,996",14
